Id,ActivityDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance_x,ModeratelyActiveDistance_x,LightActiveDistance_x,SedentaryActiveDistance_x,VeryActiveMinutes_x,FairlyActiveMinutes_x,LightlyActiveMinutes_x,SedentaryMinutes_x,Calories_x,Calories_y,SedentaryMinutes_y,LightlyActiveMinutes_y,FairlyActiveMinutes_y,VeryActiveMinutes_y,SedentaryActiveDistance_y,LightActiveDistance_y,ModeratelyActiveDistance_y,VeryActiveDistance_y,StepTotal,Date,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId
8877689391,14/04/2016,21129,19.0,19.0,0.0,10.6,0.6,7.8,0.02,68,13,298,1061,3793,3793,1061,298,13,68,0.02,7.8,0.6,10.6,21129,14/04/2016,84.5,186.29,,25.31,False,1460620000000.0
8877689391,16/04/2016,29326,25.3,25.3,0.0,13.2,1.2,10.7,0.0,94,29,429,888,4547,4547,888,429,29,94,0.0,10.7,1.2,13.2,29326,16/04/2016,85.5,188.5,,25.59,False,1460810000000.0
8877689391,18/04/2016,11423,8.7,8.7,0.0,2.4,0.3,5.9,0.0,29,5,191,1215,2761,2761,1215,191,5,29,0.0,5.9,0.3,2.4,11423,18/04/2016,85.8,189.16,,25.68,False,1460960000000.0
8877689391,19/04/2016,18785,17.4,17.4,0.0,12.1,0.2,5.0,0.0,82,13,214,1131,3676,3676,1131,214,13,82,0.0,5.0,0.2,12.1,18785,19/04/2016,85.3,188.05,,25.53,False,1461050000000.0
8877689391,20/04/2016,19948,18.1,18.1,0.0,11.0,0.7,6.3,0.0,73,19,225,1123,3679,3679,1123,225,19,73,0.0,6.3,0.7,11.0,19948,20/04/2016,84.9,187.17,,25.41,False,1461130000000.0
8877689391,21/04/2016,19377,17.6,17.6,0.0,12.3,0.4,4.9,0.0,82,13,226,1119,3659,3659,1119,226,13,82,0.0,4.9,0.4,12.3,19377,21/04/2016,84.5,186.29,,25.29,False,1461220000000.0
8877689391,23/04/2016,11200,7.4,7.4,0.0,0.0,0.0,7.4,0.01,102,6,300,1032,3891,3891,1032,300,6,102,0.01,7.4,0.0,0.0,11200,23/04/2016,85.5,188.5,,25.59,False,1461400000000.0
8877689391,24/04/2016,16674,15.7,15.7,0.0,11.0,0.0,4.7,0.0,64,1,227,1148,3455,3455,1148,227,1,64,0.0,4.7,0.0,11.0,16674,24/04/2016,85.5,188.5,,25.59,False,1461480000000.0
8877689391,25/04/2016,12986,8.7,8.7,0.0,2.4,0.1,6.3,0.01,113,8,218,1101,3802,3802,1101,218,8,113,0.01,6.3,0.1,2.4,12986,25/04/2016,85.4,188.27,,25.56,False,1461570000000.0
8877689391,26/04/2016,11101,8.4,8.4,0.0,1.8,0.1,6.5,0.0,22,3,258,1157,2860,2860,1157,258,3,22,0.0,6.5,0.1,1.8,11101,26/04/2016,85.1,187.61,,25.49,False,1461650000000.0
8877689391,27/04/2016,23629,20.6,20.6,0.0,13.1,0.4,7.1,0.0,93,8,235,1104,3808,3808,1104,235,8,93,0.0,7.1,0.4,13.1,23629,27/04/2016,85.4,188.27,,25.56,False,1461740000000.0
8877689391,28/04/2016,14890,11.3,11.3,0.0,4.9,0.4,6.0,0.0,58,8,231,1143,3060,3060,1143,231,8,58,0.0,6.0,0.4,4.9,14890,28/04/2016,85.1,187.61,,25.49,False,1461830000000.0
8877689391,29/04/2016,9733,7.4,7.4,0.0,1.4,0.2,5.8,0.0,18,5,210,1207,2698,2698,1207,210,5,18,0.0,5.8,0.2,1.4,9733,29/04/2016,84.9,187.17,,25.41,False,1461910000000.0
8877689391,30/04/2016,27745,26.7,26.7,0.0,21.7,0.1,4.9,0.0,124,4,223,1089,4398,4398,1089,223,4,124,0.0,4.9,0.1,21.7,27745,30/04/2016,85.5,188.5,,25.59,False,1462000000000.0
